year,country,co,type,domestic,firm,brand,qu,princ,horsepower,fuel,width,height,weight,pop,country1,country2,country3,country4,country5,class
1983,Belgium,1,alfa 33,0,AlfaRomeo,AlfaRomeo,729,.79149753,58,5.8000002,161,130.5,890,9860000,1,0,0,0,0,small
1984,Belgium,1,alfa 33,0,AlfaRomeo,AlfaRomeo,1860,.76201642,58,5.8000002,161,130.5,890,9860000,1,0,0,0,0,small
1985,Belgium,1,alfa 33,0,AlfaRomeo,AlfaRomeo,1771,.73627752,58,5.8000002,161,130.5,890,9860000,1,0,0,0,0,small
1986,Belgium,1,alfa 33,0,AlfaRomeo,AlfaRomeo,2047,.65909141,58,5.8000002,161,134.5,890,9860000,1,0,0,0,0,small
1987,Belgium,1,alfa 33,0,Fiat,AlfaRomeo,2147,.64931524,58,5.8000002,161,134.5,910,9870000,1,0,0,0,0,small
1988,Belgium,1,alfa 33,0,Fiat,AlfaRomeo,2087,.65251786,58,5.8000002,161,134.5,910,9900000,1,0,0,0,0,small
1989,Belgium,1,alfa 33,0,Fiat,AlfaRomeo,1803,.66563225,63,5.6999998,161,134.5,910,9940000,1,0,0,0,0,small
1990,Belgium,1,alfa 33,0,Fiat,AlfaRomeo,2689,.64038962,63,7.8000002,161.5,135,940,9970000,1,0,0,0,0,small
1991,Belgium,1,alfa 33,0,Fiat,AlfaRomeo,2880,.62403148,65,5.6999998,161.5,135,940,9980000,1,0,0,0,0,small
1992,Belgium,1,alfa 33,0,Fiat,AlfaRomeo,2849,.57086438,66,5.8000002,161.5,135,940,10050000,1,0,0,0,0,small
1993,Belgium,1,alfa 33,0,Fiat,AlfaRomeo,1615,.61186194,65,5.8000002,161.5,135,940,10080000,1,0,0,0,0,small
1994,Belgium,1,alfa 33,0,Fiat,AlfaRomeo,1095,.60119975,65,5.8000002,161.5,135,970,10090000,1,0,0,0,0,small
1986,Belgium,2,alfa 75,0,AlfaRomeo,AlfaRomeo,775,1.0509784,88.5,7,163,140,1060,9860000,1,0,0,0,0,medium
1987,Belgium,2,alfa 75,0,Fiat,AlfaRomeo,997,1.034562,88.5,7,163,140,1060,9870000,1,0,0,0,0,medium
1988,Belgium,2,alfa 75,0,Fiat,AlfaRomeo,1263,.91352499,81,6.9000001,163,140,1060,9900000,1,0,0,0,0,medium
1989,Belgium,2,alfa 75,0,Fiat,AlfaRomeo,1200,.85420114,81,6.9000001,163,140,1090,9940000,1,0,0,0,0,medium
1990,Belgium,2,alfa 75,0,Fiat,AlfaRomeo,1064,.83509243,79,9.3999996,163,140,1090,9970000,1,0,0,0,0,medium
1991,Belgium,2,alfa 75,0,Fiat,AlfaRomeo,801,.79765606,76,6.9000001,163,140,1090,9980000,1,0,0,0,0,medium
1992,Belgium,2,alfa 75,0,Fiat,AlfaRomeo,230,.73840928,77,6.6999998,163,140,1090,10050000,1,0,0,0,0,medium
1989,Belgium,3,alfa 164,0,Fiat,AlfaRomeo,920,1.4223255,109,6.5,176,140,1200,9940000,1,0,0,0,0,luxury
1990,Belgium,3,alfa 164,0,Fiat,AlfaRomeo,895,1.369004,109,8.3000002,176,140,1200,9970000,1,0,0,0,0,luxury
1991,Belgium,3,alfa 164,0,Fiat,AlfaRomeo,1018,1.3294268,107,6.5,176,140,1200,9980000,1,0,0,0,0,luxury
1992,Belgium,3,alfa 164,0,Fiat,AlfaRomeo,664,1.2387557,107,6.4000001,176,140,1300,10050000,1,0,0,0,0,luxury
1993,Belgium,3,alfa 164,0,Fiat,AlfaRomeo,459,1.3462323,106,6.5,176,139,1380,10080000,1,0,0,0,0,luxury
1994,Belgium,3,alfa 164,0,Fiat,AlfaRomeo,362,1.2961706,106,6.5,176,139,1380,10090000,1,0,0,0,0,luxury
1995,Belgium,3,alfa 164,0,Fiat,AlfaRomeo,129,1.2555447,106,6.5,176,139,1380,10140000,1,0,0,0,0,luxury
1996,Belgium,3,alfa 164,0,Fiat,AlfaRomeo,79,1.2343547,106,6.5,176,139,1380,10160000,1,0,0,0,0,luxury
1997,Belgium,3,alfa 164,0,Fiat,AlfaRomeo,65,1.1921906,106,6.5,176,139,1380,10190000,1,0,0,0,0,luxury
1985,Belgium,6,alfa 90,0,AlfaRomeo,AlfaRomeo,421,1.2081784,94,6.5,164,142,1080,9860000,1,0,0,0,0,medium
1986,Belgium,6,alfa 90,0,AlfaRomeo,AlfaRomeo,270,1.2700938,94,6.5,164,142,1080,9860000,1,0,0,0,0,medium
1987,Belgium,6,alfa 90,0,Fiat,AlfaRomeo,159,1.4456033,115,7,164,142,1080,9870000,1,0,0,0,0,medium
1973,Belgium,7,alfetta (GTV),0,AlfaRomeo,AlfaRomeo,414,1.2152457,89.5,11.5,162,143,1060,9740000,1,0,0,0,0,medium
1974,Belgium,7,alfetta (GTV),0,AlfaRomeo,AlfaRomeo,371,1.1208469,90,11.5,162,143,1060,9770000,1,0,0,0,0,medium
1975,Belgium,7,alfetta (GTV),0,AlfaRomeo,AlfaRomeo,1116,1.0263608,90,9.1999998,166.5,133,1040,9790000,1,0,0,0,0,medium
1976,Belgium,7,alfetta (GTV),0,AlfaRomeo,AlfaRomeo,1296,1.0283024,90,9.1999998,166.5,133,1040,9810000,1,0,0,0,0,medium
1977,Belgium,7,alfetta (GTV),0,AlfaRomeo,AlfaRomeo,1894,1.0408828,87,6.5,162,143,1060,9820000,1,0,0,0,0,medium
1978,Belgium,7,alfetta (GTV),0,AlfaRomeo,AlfaRomeo,1399,.91223919,80,9.1999998,162,143,1040,9830000,1,0,0,0,0,medium
1979,Belgium,7,alfetta (GTV),0,AlfaRomeo,AlfaRomeo,920,1.1977119,90,6.9000001,166,133,1080,9840000,1,0,0,0,0,medium
1980,Belgium,7,alfetta GTV,0,AlfaRomeo,AlfaRomeo,762,1.1489888,90,6.9000001,164,143,1140,9850000,1,0,0,0,0,medium
1981,Belgium,7,alfetta GTV,0,AlfaRomeo,AlfaRomeo,844,1.1789711,96,6.9000001,164,143,1140,9850000,1,0,0,0,0,medium
1982,Belgium,7,alfetta GTV,0,AlfaRomeo,AlfaRomeo,1113,.93128169,80,6.8000002,164,143,1120,9860000,1,0,0,0,0,medium
1983,Belgium,7,alfetta GTV,0,AlfaRomeo,AlfaRomeo,988,1.2652191,96,6.5999999,164,143,1120,9860000,1,0,0,0,0,medium
1984,Belgium,7,alfetta GTV,0,AlfaRomeo,AlfaRomeo,676,1.0897654,89.5,6.6999998,164,143,1140,9860000,1,0,0,0,0,medium
1985,Belgium,7,alfetta GTV,0,AlfaRomeo,AlfaRomeo,159,1.2767583,96,6.5999999,164,143,1140,9860000,1,0,0,0,0,medium
1986,Belgium,7,alfetta GTV,0,AlfaRomeo,AlfaRomeo,70,1.2662157,95.5,6.5999999,166.5,133,1110,9860000,1,0,0,0,0,medium
1995,Belgium,7,alfa GTV,0,Fiat,AlfaRomeo,105,1.1939614,110,6.1999998,178,132,1370,10140000,1,0,0,0,0,medium
1996,Belgium,7,alfa GTV,0,Fiat,AlfaRomeo,266,1.1988778,110,6.1999998,178,132,1370,10160000,1,0,0,0,0,medium
1997,Belgium,7,alfa GTV,0,Fiat,AlfaRomeo,186,1.1698738,110,6.1999998,178,132,1370,10190000,1,0,0,0,0,medium
1998,Belgium,7,alfa GTV,0,Fiat,AlfaRomeo,154,1.0444076,106,7,178,132,1370,10190000,1,0,0,0,0,medium
1999,Belgium,7,alfa GTV,0,Fiat,AlfaRomeo,177,1.0028574,106,6.5,178,132,1350,10190000,1,0,0,0,0,medium
1978,Belgium,8,alfa giulietta,0,AlfaRomeo,AlfaRomeo,796,.85035157,70,7.5,165,140,1070,9830000,1,0,0,0,0,medium
1979,Belgium,8,alfa giulietta,0,AlfaRomeo,AlfaRomeo,1127,.8209545,70,7.3000002,165,140,1070,9840000,1,0,0,0,0,medium
1980,Belgium,8,alfa giulietta,0,AlfaRomeo,AlfaRomeo,1085,.83664918,70,7.3000002,165,140,1070,9850000,1,0,0,0,0,medium
1981,Belgium,8,alfa giulietta,0,AlfaRomeo,AlfaRomeo,918,.90915513,80,7.5999999,165,140,1070,9850000,1,0,0,0,0,medium
1982,Belgium,8,alfa giulietta,0,AlfaRomeo,AlfaRomeo,1282,.8845619,80,7.5999999,165,140,1070,9860000,1,0,0,0,0,medium
1983,Belgium,8,alfa giulietta,0,AlfaRomeo,AlfaRomeo,1074,.92978895,80,6.8000002,165,140,1070,9860000,1,0,0,0,0,medium
1984,Belgium,8,alfa giulietta,0,AlfaRomeo,AlfaRomeo,755,.98324698,80,6.8000002,165,140,1070,9860000,1,0,0,0,0,medium
1985,Belgium,8,alfa giulietta,0,AlfaRomeo,AlfaRomeo,266,.93997759,80,6.8000002,165,140,1070,9860000,1,0,0,0,0,medium
1973,Belgium,9,alfasud,0,AlfaRomeo,AlfaRomeo,1505,.67593348,46.5,7.5999999,159,137,830,9740000,1,0,0,0,0,small
1974,Belgium,9,alfasud,0,AlfaRomeo,AlfaRomeo,1859,.65942478,46,7.5999999,159,137,830,9770000,1,0,0,0,0,small
1975,Belgium,9,alfasud,0,AlfaRomeo,AlfaRomeo,2994,.60682255,46,7.5999999,153,137,860,9790000,1,0,0,0,0,small
1976,Belgium,9,alfasud,0,AlfaRomeo,AlfaRomeo,1990,.60502076,46,7.5999999,153,137,860,9810000,1,0,0,0,0,small
1977,Belgium,9,alfasud,0,AlfaRomeo,AlfaRomeo,2023,.58598167,46,7.1999998,159,137,860,9820000,1,0,0,0,0,small
1978,Belgium,9,alfasud,0,AlfaRomeo,AlfaRomeo,2187,.56221259,46,7.1999998,159,137,860,9830000,1,0,0,0,0,small
1979,Belgium,9,alfasud,0,AlfaRomeo,AlfaRomeo,2088,.52708369,46,7.1999998,159,137,860,9840000,1,0,0,0,0,small
1980,Belgium,9,alfasud,0,AlfaRomeo,AlfaRomeo,1532,.53062648,46,6.5999999,159,137,860,9850000,1,0,0,0,0,small
1981,Belgium,9,alfasud,0,AlfaRomeo,AlfaRomeo,1422,.5430004,46,6.5,159,137,915,9850000,1,0,0,0,0,small
1982,Belgium,9,alfasud,0,AlfaRomeo,AlfaRomeo,1630,.66653603,58,6.6999998,159,137,895,9860000,1,0,0,0,0,small
1983,Belgium,9,alfasud,0,AlfaRomeo,AlfaRomeo,1331,.62966722,58,6,159,137,895,9860000,1,0,0,0,0,small
1984,Belgium,9,alfasud,0,AlfaRomeo,AlfaRomeo,77,.94500959,77,5.9000001,162,130.5,915,9860000,1,0,0,0,0,small
1980,Belgium,11,alfa 6,0,AlfaRomeo,AlfaRomeo,82,1.5536267,118,9,168.5,139.5,1430,9850000,1,0,0,0,0,luxury
1992,Belgium,12,alfa 155,0,Fiat,AlfaRomeo,622,.92375022,93,6.6999998,170,144,1205,10050000,1,0,0,0,0,medium
1993,Belgium,12,alfa 155,0,Fiat,AlfaRomeo,1080,.86422944,83,6.4000001,170,144,1250,10080000,1,0,0,0,0,medium
1994,Belgium,12,alfa 155,0,Fiat,AlfaRomeo,1554,.85056323,85,6.4000001,170,144,1250,10090000,1,0,0,0,0,medium
1995,Belgium,12,alfa 155,0,Fiat,AlfaRomeo,962,.77418971,83,6.4000001,173,144,1250,10140000,1,0,0,0,0,medium
1996,Belgium,12,alfa 155,0,Fiat,AlfaRomeo,866,.77070713,88,6.4000001,173,144,1290,10160000,1,0,0,0,0,medium
1997,Belgium,12,alfa 155,0,Fiat,AlfaRomeo,628,.74350417,88,6,173,144,1270,10190000,1,0,0,0,0,medium
1973,Belgium,13,audi 80/90,0,VW,Audi,4927,.72819108,44,8.8000002,160,136,835,9740000,1,0,0,0,0,medium
1974,Belgium,13,audi 80/90,0,VW,Audi,3982,.68015957,44,8.8000002,160,136,835,9770000,1,0,0,0,0,medium
1975,Belgium,13,audi 80/90,0,VW,Audi,2513,.69332254,44,8.6000004,160,136,835,9790000,1,0,0,0,0,medium
1976,Belgium,13,audi 80/90,0,VW,Audi,3485,.73589903,44,8.6000004,160,136,835,9810000,1,0,0,0,0,medium
1977,Belgium,13,audi 80/90,0,VW,Audi,3111,.72956657,44,8.8000002,160,136,845,9820000,1,0,0,0,0,medium
1978,Belgium,13,audi 80/90,0,VW,Audi,4139,.73381001,44,8.8000002,160,136,945,9830000,1,0,0,0,0,medium
1979,Belgium,13,audi 80/90,0,VW,Audi,4051,.73543054,44,7,168,136.5,910,9840000,1,0,0,0,0,medium
1980,Belgium,13,audi 80/90,0,VW,Audi,5143,.73873591,44,7,168,136.5,890,9850000,1,0,0,0,0,medium
1981,Belgium,13,audi 80/90,0,VW,Audi,6366,.73028839,44,6.5999999,168,136.5,890,9850000,1,0,0,0,0,medium
