index  ,sic3 ,yr ,ldsal ,lemp,ldnpt,ldrst ,ldrnd ,ldinv
1,374,73,7.018958,2.51098,7.045374,3.750897,2.03022,4.989436
1,374,78,7.093943,2.67104,7.185844,3.79655,2.042284,4.903427
1,374,83,6.408202,2.006468,7.4539,3.92492,2.033403,3.827535
2,366,78,3.526278,-0.0523465,2.4056,2.615831,1.125036,0.6331753
2,366,83,4.373662,0.6408007,3.478403,3.226959,1.77073,1.915366
2,366,88,5.195838,0.5187938,3.461868,3.99812,2.822126,2.59
3,358,78,3.80885,-0.5430046,1.728083,0.7460739,-1.056873,-0.748376
3,358,83,3.851153,-0.4780358,2.696385,1.327111,0.2652157,0.725182
4,381,73,4.250763,0.2102609,3.03931,2.753363,0.812571,2.16101
4,381,78,4.454119,0.3300229,3.321756,2.425178,0.3664629,2.045669
4,381,83,4.196222,0.2761154,3.163021,2.02643,-0.1117551,0.8561237
5,321,73,4.819566,1.101608,5.122027,1.215614,-0.5257142,2.850434
6,283,88,5.403486,0.5306283,4.130784,2.453943,1.686399,2.95842
7,394,73,7.548618,3.50255,6.351656,5.470652,3.94797,4.818399
7,394,78,7.525074,3.351972,6.353199,5.320205,3.486773,4.589829
7,394,83,6.919245,2.930554,6.409701,5.344495,3.439271,4.044888
8,355,73,7.307561,3.157,5.676728,4.464104,2.431797,4.558698
8,355,78,7.048522,2.917771,5.614881,4.318132,2.59354,3.825977
8,355,83,6.470441,1.894617,4.90529,4.539299,1.737442,2.565341
8,355,88,6.672082,2.02009,5.257744,4.520645,2.515044,2.572404
9,357,88,6.17231,0.8073684,2.469961,3.366587,2.718813,2.651212
10,349,78,2.581592,-1.374366,-0.6211736,-0.8086869,-3.235405,-1.825147
10,349,83,3.590863,-0.7236063,2.127238,-0.5514797,-1.356375,0.6350309
10,349,88,4.417199,0.2623642,3.051999,0.6355948,-1.286165,2.042786
11,367,78,4.30236,1.196041,3.427854,2.130758,0.7604994,2.87027
11,367,83,5.086971,1.686399,4.540987,3.076247,1.89261,3.052532
12,352,73,5.759978,0.6151857,4.15383,1.20782,-0.1657114,3.034786
12,352,78,5.100262,0.2311117,3.982746,2.045912,0.484246,1.725162
13,283,73,7.372421,3.059646,6.655038,6.061203,4.493054,4.477224
13,283,78,7.879582,3.295948,6.775311,6.358751,4.827487,4.833066
13,283,83,8.177252,3.535961,7.232088,6.619253,5.335486,5.759579
13,283,88,8.442124,3.657156,7.505196,7.217344,6.085104,6.228511
14,262,88,7.819003,2.785011,7.315532,3.645007,1.964101,5.026163
15,382,78,4.858079,0.662688,3.595389,4.109828,2.195036,0.862953
15,382,83,4.793755,0.5709795,3.482476,4.077027,2.164834,0.6339521
16,280,73,4.133198,-1.609438,1.990285,0.9511251,-1.218861,-0.7310784
16,280,78,4.67455,-1.537117,1.660925,0.8944206,-0.7858379,-0.0074907
16,280,83,4.519995,-1.742969,1.748093,0.7586905,-1.48183,-1.154037
16,280,88,4.56891,-1.742969,1.765643,0.6197399,-1.282674,-0.33959
17,354,73,5.818182,1.714518,4.644773,2.506704,1.13172,2.523045
17,354,78,6.118665,1.745366,4.812621,2.879049,1.385064,2.598368
17,354,83,5.227182,0.9555114,5.124599,3.13968,1.36469,2.271171
17,354,88,5.150344,0.9214773,4.244694,2.825989,0.339229,1.730588
18,362,83,3.954639,-0.0080322,2.709812,3.268205,1.446058,1.097255
18,362,88,4.378166,0,2.883158,3.372748,1.691752,0.7716922
19,342,78,4.10964,-0.5276328,2.425067,1.026559,-0.0504309,0.5869572
19,342,83,4.050523,-0.5361435,2.712989,1.615469,0.0705664,-0.1221159
20,342,78,3.687555,0.0544882,2.14147,0.2170397,-2.109394,0.0452301
20,342,83,3.83487,-0.2231435,2.129055,0.2834522,-0.9264661,-0.2351687
20,342,88,3.582248,-0.4652151,1.993137,0.7134564,-1.543994,-0.3166314
21,384,88,5.060234,-0.1519863,2.722408,3.476074,2.832076,2.787853
22,384,83,4.422655,0.0099503,2.083503,2.781982,2.204944,2.098835
23,331,78,2.326237,-1.851509,0.0802723,2.074684,0.0727019,-0.9778486
23,331,83,3.910233,-0.5276328,2.1053,2.481843,1.815107,1.286907
24,367,88,4.162714,-0.6991652,1.266016,3.115683,1.935086,1.407469
25,365,78,3.655957,-0.9263411,1.348655,2.238683,0.8484681,-0.0303054
26,384,88,3.066361,-1.546463,0.7969988,1.716878,0.7278053,-0.5040393
27,372,78,4.327761,0.0953102,2.078321,2.406163,-0.3779775,-0.0647375
27,372,83,3.809595,-0.6348783,2.628245,1.822321,-0.4270692,0.6198215
28,367,78,5.146623,1.891906,3.763211,3.496283,2.881774,3.57899
28,367,83,6.375254,2.57009,5.501516,5.337081,4.73609,4.878523
28,367,88,7.018927,2.695775,6.236526,6.680202,5.304765,4.863741
29,355,88,5.161863,0.685115,4.106014,4.272073,2.625019,2.642179
30,306,73,4.342476,0.5306283,3.521092,1.597405,-1.086372,1.11989
31,281,73,7.045518,2.332144,6.916663,4.601733,3.008459,5.066295
31,281,78,7.400419,2.660259,7.379068,5.106907,3.619125,5.69803
31,281,83,7.423336,3.152736,7.806646,5.367172,3.804986,5.524171
31,281,88,7.741709,2.587764,7.785762,5.679977,4.239441,6.039024
32,281,73,7.426383,2.628574,6.930703,5.262191,3.101733,4.26843
33,282,73,7.442142,2.976397,6.999302,4.893425,3.43819,4.654976
33,282,78,7.206603,2.730464,6.940045,5.209486,3.617718,4.14772
34,225,78,3.891275,0.3597701,2.866966,-0.2585796,-0.4170069,0.2623642
34,225,83,3.896593,0.4718769,3.01697,0.5332912,-1.260668,0.7638341
34,225,88,3.831432,0.2013069,3.336918,0.4679121,-1.400893,0.4597371
35,222,78,5.966648,1.893564,5.438281,3.915584,2.316262,3.22986
36,222,88,6.097156,1.733247,5.211774,3.998545,2.506807,4.043137
37,284,73,6.124819,1.029619,3.824533,2.856821,1.334482,1.76748
37,284,78,5.658726,0.9555114,3.543077,2.80285,1.0261,1.980487
38,283,73,4.829011,0.3364722,3.274566,3.636844,2.207571,2.478059
39,367,83,2.361082,-1.958995,1.154659,0.0649743,-0.6018332,-0.0727786
40,363,73,7.300764,2.934761,6.714757,4.565021,2.716552,4.369228
40,363,83,7.789831,3.602777,6.390799,4.97231,3.772282,4.011873
41,393,83,3.04571,-0.6931472,1.952284,1.132657,-0.4497379,-1.654167
42,283,73,3.972966,-0.3024573,3.023748,2.846938,1.577403,2.126103
42,283,78,4.736838,0.3249778,3.564728,3.332887,1.89671,2.406811
43,283,88,-0.2439079,-3.194183,0.3074275,0.3130815,0.0833816,-0.5518637
44,280,73,8.38554,3.515329,8.029426,6.357055,4.260214,6.126566
44,280,78,8.496059,3.46508,8.51568,6.298231,4.549917,6.619157
44,280,83,9.255332,4.768564,8.453197,6.698016,5.752448,6.425675
45,372,73,8.363481,3.515329,8.043002,6.269266,4.260214,6.126566
45,372,78,8.606418,3.46508,8.488674,6.258485,4.549917,6.619157
45,372,83,9.241313,4.768564,8.453197,6.686954,5.752448,6.425675
45,372,88,9.410468,4.696381,8.153389,7.469927,5.993877,6.372642
46,358,73,4.586296,0.5187938,3.830528,1.396787,-0.4650896,0.9048107
47,356,78,7.917981,3.362872,6.617441,6.151401,4.583628,5.441959
47,356,83,7.23806,2.850996,6.372672,6.223683,4.141222,2.66325
48,367,78,2.943243,-0.6443571,1.873867,0.9992809,-0.0384342,0.5985084
48,367,83,4.103282,0.2334899,3.407754,2.614646,1.616388,1.604747
49,399,88,2.949269,-1.130103,2.184826,1.109914,0.2248812,1.110538
50,357,83,3.244794,-0.9162907,1.098951,2.478765,1.516375,0.6004785
50,357,88,4.093564,-1.07881,0.7842036,3.144179,1.395671,0.2944683
51,204,73,2.68157,-1.108663,1.064112,1.222667,-0.1119503,-0.5436155
51,204,83,3.691802,-1.108663,2.105052,1.243561,-0.9095642,0.3635688
52,365,73,3.963628,0.6360476,2.708546,2.844692,1.375149,0.1975076
52,365,78,3.605408,0,2.122708,2.680918,0.0982863,-0.840851
53,333,73,8.572363,3.882265,8.542597,6.284865,4.669555,6.188835
53,333,78,8.751345,3.828641,8.671354,6.372833,4.530305,6.257267
53,333,83,8.686561,3.666122,8.832579,6.399305,4.462761,6.02128
53,333,88,8.913603,4.077538,9.152858,6.610647,5.085985,6.725939
54,283,83,3.221434,-1.117795,3.111139,4.339137,2.415833,0.6004785
54,283,88,4.241814,-0.438505,4.251409,4.581219,3.346525,3.312912
55,333,83,7.854378,2.631889,8.594533,5.337869,3.108378,4.838234
56,371,73,5.982008,1.779855,4.930915,4.535397,2.714271,2.645418
57,357,78,4.242536,1.071584,4.222991,4.684895,3.695293,4.384896
57,357,83,5.949769,1.88707,5.494551,5.802602,4.739961,5.076045
57,357,88,7.646084,2.097281,5.594595,6.504815,5.363743,5.690833
58,211,78,9.101454,3.998568,7.014754,5.11784,3.330212,5.016746
58,211,83,8.75899,4.314818,7.126508,5.098293,2.972863,4.934452
58,211,88,8.762687,3.889777,7.106518,4.950231,2.850399,5.433246
59,280,73,8.262761,3.676199,7.618067,6.738655,4.770894,5.336667
59,280,78,8.321947,3.783462,7.913367,6.814517,5.177797,5.926066
59,280,83,8.213408,3.655607,7.892591,6.99898,5.487011,5.123504
59,280,88,8.354813,3.569561,7.54828,7.312352,5.86577,5.896106
60,283,78,8.630735,3.904374,6.836303,6.696546,4.805418,4.614544
60,283,83,8.683293,4.001498,7.267424,6.75253,5.200471,5.301547
60,283,88,8.550214,3.805862,7.185872,7.084088,5.540608,5.664479
61,384,73,7.559967,3.072693,5.919281,4.482068,3.150586,4.733365
61,384,78,7.901062,3.394508,6.528904,5.011359,3.896726,4.761255
61,384,83,8.235559,3.514526,6.831653,5.620169,4.514573,4.958788
62,252,78,4.095531,0.1397619,2.95491,2.364562,-0.7966878,0.5367552
62,252,83,3.94523,0.14842,3.29817,1.950799,-0.6987873,0.9645479
63,204,73,5.43098,1.333684,4.738373,2.200752,0.2551385,1.65028
63,204,78,5.925424,1.06264,5.252125,2.158012,0.5896065,2.191236
63,204,83,5.832483,0.9794533,5.330899,2.397822,0.8325667,3.559467
63,204,88,6.146307,1.133658,5.553661,2.588989,0.8730504,3.297529
64,220,78,4.077971,0.0487901,3.030998,1.656575,0.4451061,0.5218098
65,367,78,4.534674,1.1531,3.729176,4.084332,2.414449,1.986237
66,371,73,8.343477,3.341412,6.175197,6.021946,4.40696,5.134572
66,371,78,8.335211,3.314804,6.218657,6.13582,4.373796,4.149864
66,371,83,8.186475,3.254243,6.873498,6.310373,4.226891,5.611214
67,291,78,7.366699,1.033184,6.57669,2.073561,0.570331,4.285992
67,291,83,7.202559,0.9532011,6.988692,2.73893,1.756849,5.682139
68,367,73,2.993246,-0.5621189,1.890148,0.1606182,-1.662548,-0.2400347
68,367,78,3.258527,-0.4307829,1.975324,0.2333859,-1.686071,0.704279
68,367,88,3.889436,-0.1438704,1.910695,0.0784808,-1.794662,0.3917529
69,371,73,5.353248,1.446919,2.418878,2.607753,1.177518,1.91312
70,384,78,3.656995,-0.8698844,1.321557,3.926161,1.366844,0.2165547
70,384,88,3.144048,-1.427116,0.8886756,2.795184,-0.1576996,-1.238277
71,252,73,5.248158,1.051521,3.828533,2.607386,0.8543106,2.052086
71,252,78,4.94836,0.5394131,3.139768,2.457149,0.6799456,1.829352
72,358,73,8.04309,4.102643,6.919998,5.993219,4.201563,4.871744
72,358,78,8.040839,3.883624,6.817958,5.798666,3.438735,4.834136
72,358,83,7.753537,3.634951,7.015136,5.510519,3.2087,4.359821
73,384,73,5.500947,1.202672,3.507054,3.551337,1.730827,2.064441
73,384,78,5.501054,1.250188,3.859944,3.768695,2.083532,1.598935
73,384,83,5.76203,1.254191,3.947755,3.934542,2.40106,2.51538
74,367,88,3.160043,-0.6597124,2.107498,2.309507,0.5989957,1.09634
75,287,83,2.426404,-2.302585,1.388834,-0.9221006,-2.301461,0.3334157
76,372,78,4.666672,-0.3202052,2.970644,0.5261922,-2.179353,0.3934529
77,251,83,4.273781,-0.0202027,2.882656,1.448992,-1.158885,0.5014225
77,251,88,4.155126,0.0516432,3.24537,1.256076,-1.30025,0.989787
78,327,73,5.969596,1.280934,4.929696,2.926747,0.9367693,3.114012
78,327,78,5.961662,1.308333,5.127573,2.862499,0.2483957,2.411774
78,327,83,5.568276,1.029619,5.113574,2.649483,1.544134,2.392238
78,327,88,5.90197,1.098612,4.883502,3.041811,1.159521,2.809766
79,382,73,6.078365,1.795419,4.579534,3.835224,1.870285,2.789352
79,382,78,6.192843,1.88707,4.867431,3.852725,2.234762,3.017727
79,382,83,6.14079,1.774952,5.078747,4.112623,2.560005,2.744411
79,382,88,6.20828,1.648659,5.140132,4.590478,2.816305,3.706907
80,283,88,4.188948,-0.6217572,4.107535,4.291935,2.997277,3.739058
81,367,73,6.329353,2.696652,5.554046,5.98562,4.639072,4.884324
81,367,78,6.833491,2.828792,5.957314,6.261301,4.798361,4.47467
81,367,83,7.329948,3.058707,6.453135,6.555732,5.008007,4.866062
81,367,88,7.882335,3.182212,6.805908,6.868069,5.437869,5.36718
82,291,73,9.735903,3.841364,9.568492,6.163333,4.590281,7.712101
